,state,sat_part_2017,sat_ebrw_2017,sat_math_2017,sat_total_2017,sat_part_2018,sat_ebrw_2018,sat_math_2018,sat_total_2018,sat_part_2019,sat_ebrw_2019,sat_math_2019,sat_total_2019,act_part_2017,act_comp_2017,act_part_2018,act_comp_2018,act_part_2019,act_comp_2019,sat_required,act_required
0,Alabama,0.05,593,572,1165,0.06,595,571,1166,0.07,583,560,1143,1.0,19.2,1.0,19.1,1.0,18.9,No,Yes
1,Alaska,0.38,547,533,1080,0.43,562,544,1106,0.41,556,541,1097,0.65,19.8,0.33,20.8,0.38,20.1,No,No
2,Arizona,0.3,563,553,1116,0.29,577,572,1149,0.31,569,565,1134,0.62,19.7,0.66,19.2,0.73,19.0,No,No
3,Arkansas,0.03,614,594,1208,0.05,592,576,1169,0.06,582,559,1141,1.0,19.4,1.0,19.4,1.0,19.3,No,Yes
4,California,0.53,531,524,1055,0.6,540,536,1076,0.63,534,531,1065,0.31,22.8,0.27,22.7,0.23,22.6,No,No
5,Colorado,0.11,606,595,1201,1.0,519,506,1025,1.0,518,506,1024,1.0,20.8,0.3,23.9,0.27,23.8,Yes,No
6,Connecticut,1.0,530,512,1041,1.0,535,519,1053,1.0,529,516,1046,0.31,25.2,0.26,25.6,0.22,25.5,Yes,No
7,Delaware,1.0,503,492,996,1.0,505,492,998,1.0,499,486,985,0.18,24.1,0.17,23.8,0.13,24.1,Yes,No
8,District of Columbia,1.0,482,468,950,0.92,497,480,977,0.94,495,480,975,0.32,24.2,0.32,23.6,0.32,23.5,Yes,No
9,Florida,0.83,520,497,1017,0.56,550,549,1099,1.0,516,483,999,0.73,19.8,0.66,19.9,0.54,20.1,No,No
10,Georgia,0.61,535,515,1050,0.7,542,522,1064,0.71,538,519,1058,0.55,21.4,0.53,21.4,0.49,21.4,No,No
11,Hawaii,0.55,544,541,1085,0.56,480,530,1010,0.54,550,550,1100,0.9,19.0,0.89,18.9,0.8,19.0,No,Yes
12,Idaho,0.93,513,493,1005,1.0,508,493,1001,1.0,505,488,993,0.38,22.3,0.36,22.3,0.31,22.5,Yes,No
13,Illinois,0.09,559,556,1115,0.99,513,506,1019,1.0,509,504,1013,0.93,21.4,0.43,23.9,0.35,24.3,Yes,No
14,Indiana,0.63,542,532,1074,0.63,542,532,1074,0.66,543,537,1080,0.35,22.6,0.32,22.5,0.29,22.5,No,No
15,Iowa,0.02,641,635,1275,0.03,634,631,1265,0.03,622,622,1244,0.67,21.9,0.68,21.8,0.66,21.6,No,No
16,Kansas,0.04,632,628,1260,0.04,633,631,1265,0.04,618,623,1241,0.73,21.7,0.71,21.6,0.72,21.2,No,Yes
17,Kentucky,0.04,631,616,1247,0.04,630,618,1248,0.04,620,612,1232,1.0,20.0,1.0,20.2,1.0,19.8,No,Yes
18,Louisiana,0.04,611,586,1198,0.04,615,595,1210,0.05,610,591,1200,1.0,19.5,1.0,19.2,1.0,18.8,No,Yes
19,Maine,0.95,513,499,1012,0.99,512,501,1013,0.99,512,502,1013,0.08,24.3,0.07,24.0,0.06,24.3,Yes,No
20,Maryland,0.69,536,524,1060,0.76,545,535,1080,0.82,535,523,1058,0.28,23.6,0.31,22.5,0.28,22.3,No,No
21,Massachusetts,0.76,555,551,1107,0.8,562,563,1125,0.81,559,561,1120,0.29,25.4,0.25,25.5,0.21,25.5,No,No
22,Michigan,1.0,509,495,1005,1.0,511,499,1011,1.0,507,496,1003,0.29,24.1,0.22,24.2,0.19,24.4,Yes,No
23,Minnesota,0.03,644,651,1295,0.04,643,655,1298,0.04,636,648,1284,1.0,21.5,0.99,21.3,0.95,21.4,Yes,Yes
24,Mississippi,0.02,634,607,1242,0.03,630,606,1236,0.03,628,608,1237,1.0,18.6,1.0,18.6,1.0,18.4,No,Yes
